route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
GUILDFORD - POOLE (2),3,HAVANT,FAREHAM,stop,10.48,24.9,15,1
GUILDFORD - POOLE (2),4,FAREHAM,SOUTHAMPTON CENTRAL,stop,11.98,21.0,22,1
GUILDFORD - POOLE (2),5,SOUTHAMPTON CENTRAL,TOTTON,stop,3.5,21.0,5,2
GUILDFORD - POOLE (2),6,TOTTON,ASHURST NEW FOREST,stop,3.16,30.0,5,0
GUILDFORD - POOLE (2),7,ASHURST NEW FOREST,BROCKENHURST,stop,6.24,30.0,8,0
GUILDFORD - POOLE (2),8,BROCKENHURST,SWAY,stop,6.83,22.5,4,1
GUILDFORD - POOLE (2),9,SWAY,NEW MILTON,stop,3.21,15.5,5,0
GUILDFORD - POOLE (2),10,NEW MILTON,HINTON ADMIRAL,stop,2.99,23.0,4,0
GUILDFORD - POOLE (2),11,HINTON ADMIRAL,CHRISTCHURCH,stop,3.74,30.0,5,0
GUILDFORD - POOLE (2),12,CHRISTCHURCH,POKESDOWN,stop,2.14,30.0,4,0
GUILDFORD - POOLE (2),13,POKESDOWN,BOURNEMOUTH,stop,2.93,21.5,4,0
GUILDFORD - POOLE (2),14,BOURNEMOUTH,BRANKSOME,stop,1.93,21.5,5,1
GUILDFORD - POOLE (2),15,BRANKSOME,PARKSTONE,stop,1.54,30.0,3,0
GUILDFORD - POOLE (2),16,PARKSTONE,POOLE,stop,1.88,21.0,4,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,1,EFFINGHAM JUNCTION,GUILDFORD,pass,9.06,36.2,11,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,2,GUILDFORD,FARNCOMBE,stop,3.33,36.5,6,2
GUILDFORD - PORTSMOUTH & SOUTHSEA,3,FARNCOMBE,GODALMING,stop,1.17,18.1,3,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,4,GODALMING,MILFORD,stop,1.98,18.1,4,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,5,MILFORD,WITLEY,stop,2.46,18.2,4,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,6,WITLEY,HASLEMERE,stop,5.09,18.5,8,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,7,HASLEMERE,LIPHOOK,stop,4.33,18.6,5,9
GUILDFORD - PORTSMOUTH & SOUTHSEA,8,LIPHOOK,LISS,stop,5.07,18.7,6,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,9,LISS,PETERSFIELD,stop,3.81,18.9,5,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,10,PETERSFIELD,ROWLANDS CASTLE,stop,9.1,19.2,9,1
GUILDFORD - PORTSMOUTH & SOUTHSEA,11,ROWLANDS CASTLE,HAVANT,stop,3.3,19.6,5,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,12,HAVANT,BEDHAMPTON,stop,0.72,19.7,2,1
GUILDFORD - PORTSMOUTH & SOUTHSEA,13,BEDHAMPTON,HILSEA PORTSMOUTH,stop,3.7,24.9,5,1
GUILDFORD - PORTSMOUTH & SOUTHSEA,14,HILSEA PORTSMOUTH,FRATTON PORTSMOUTH,stop,2.67,30.0,4,0
GUILDFORD - PORTSMOUTH & SOUTHSEA,15,FRATTON PORTSMOUTH,PORTSMOUTH & SOUTHSEA,stop,1.06,19.0,5,1
GUILDFORD - PORTSMOUTH HARBOUR,1,EFFINGHAM JUNCTION,GUILDFORD,pass,9.06,36.2,11,0
GUILDFORD - PORTSMOUTH HARBOUR,2,GUILDFORD,FARNCOMBE,stop,3.33,36.5,5,2
GUILDFORD - PORTSMOUTH HARBOUR,3,FARNCOMBE,GODALMING,stop,1.17,18.1,2,1
GUILDFORD - PORTSMOUTH HARBOUR,4,GODALMING,MILFORD,stop,1.98,18.1,4,1
GUILDFORD - PORTSMOUTH HARBOUR,5,MILFORD,WITLEY,stop,2.46,18.2,4,0
GUILDFORD - PORTSMOUTH HARBOUR,6,WITLEY,HASLEMERE,stop,5.09,18.5,7,0
GUILDFORD - PORTSMOUTH HARBOUR,7,HASLEMERE,LIPHOOK,stop,4.33,18.6,5,9
GUILDFORD - PORTSMOUTH HARBOUR,8,LIPHOOK,LISS,stop,5.07,18.7,6,0
GUILDFORD - PORTSMOUTH HARBOUR,9,LISS,PETERSFIELD,stop,3.81,18.9,5,0
GUILDFORD - PORTSMOUTH HARBOUR,10,PETERSFIELD,ROWLANDS CASTLE,stop,9.1,19.2,9,1
GUILDFORD - PORTSMOUTH HARBOUR,11,ROWLANDS CASTLE,HAVANT,stop,3.3,19.6,5,0
GUILDFORD - PORTSMOUTH HARBOUR,12,HAVANT,BEDHAMPTON,stop,0.72,19.7,2,1
GUILDFORD - PORTSMOUTH HARBOUR,13,BEDHAMPTON,HILSEA PORTSMOUTH,stop,3.7,24.9,5,1
GUILDFORD - PORTSMOUTH HARBOUR,14,HILSEA PORTSMOUTH,FRATTON PORTSMOUTH,stop,2.67,30.0,4,0
GUILDFORD - PORTSMOUTH HARBOUR,15,FRATTON PORTSMOUTH,PORTSMOUTH & SOUTHSEA,stop,1.06,19.0,3,1
GUILDFORD - PORTSMOUTH HARBOUR,16,PORTSMOUTH & SOUTHSEA,PORTSMOUTH HARBOUR,stop,0.7,6.5,5,1
GUILDFORD - RAYNES PARK,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0
GUILDFORD - RAYNES PARK,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0
GUILDFORD - RAYNES PARK,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0
GUILDFORD - RAYNES PARK,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,3,0
GUILDFORD - RAYNES PARK,5,EFFINGHAM JUNCTION,COBHAM AND STOKE D'ABERNON,stop,2.57,17.4,4,0
GUILDFORD - RAYNES PARK,6,COBHAM AND STOKE D'ABERNON,OXSHOTT,stop,2.02,17.4,3,0
GUILDFORD - RAYNES PARK,7,OXSHOTT,CLAYGATE,stop,2.03,17.2,3,0
GUILDFORD - RAYNES PARK,8,CLAYGATE,HINCHLEY WOOD,stop,1.2,17.1,3,0
GUILDFORD - RAYNES PARK,9,HINCHLEY WOOD,SURBITON,stop,2.29,17.1,4,0
GUILDFORD - RAYNES PARK,10,SURBITON,BERRYLANDS,stop,1.19,17.0,2,1
GUILDFORD - RAYNES PARK,11,BERRYLANDS,NEW MALDEN,stop,6.02,13.5,3,0
GUILDFORD - RAYNES PARK,12,NEW MALDEN,RAYNES PARK,stop,6.04,15.0,3,0
