route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
RAYNES PARK - GUILDFORD,11,HORSLEY,CLANDON,stop,3.65,17.6,5,0
RAYNES PARK - GUILDFORD,12,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0
RAYNES PARK - GUILDFORD,13,LONDON ROAD GUILDFORD,GUILDFORD,stop,0.77,36.4,5,0
WORCESTER PARK - DORKING,1,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,6,0
WORCESTER PARK - DORKING,2,STONELEIGH,EWELL WEST,stop,1.22,17.2,7,0
WORCESTER PARK - DORKING,3,EWELL WEST,EPSOM,stop,1.36,42.6,8,0
WORCESTER PARK - DORKING,4,EPSOM,ASHTEAD,stop,25.77,79.0,10,0
WORCESTER PARK - DORKING,5,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,11,0
WORCESTER PARK - DORKING,6,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,10,0
WORCESTER PARK - DORKING,7,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,5,0
WORCESTER PARK - EFFINGHAM JUNCTION,1,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,6,0
WORCESTER PARK - EFFINGHAM JUNCTION,2,STONELEIGH,EWELL WEST,stop,1.22,17.2,7,0
WORCESTER PARK - EFFINGHAM JUNCTION,3,EWELL WEST,EPSOM,stop,1.36,42.6,8,0
WORCESTER PARK - EFFINGHAM JUNCTION,4,EPSOM,ASHTEAD,stop,25.77,79.0,10,0
WORCESTER PARK - EFFINGHAM JUNCTION,5,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,11,0
WORCESTER PARK - EFFINGHAM JUNCTION,6,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,13,0
WORCESTER PARK - EFFINGHAM JUNCTION,7,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,14,0
WORCESTER PARK - EPSOM,1,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,6,0
