route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
DORKING - BATTERSEA PARK LONDON,9,STREATHAM COMMON,BALHAM,stop,2.11,16.9,5,2
DORKING - BATTERSEA PARK LONDON,10,BALHAM,WANDSWORTH COMMON LONDON,stop,0.68,16.8,2,0
DORKING - BATTERSEA PARK LONDON,11,WANDSWORTH COMMON LONDON,BATTERSEA PARK LONDON,stop,2.62,16.7,8,0
DORKING - BATTERSEA PARK LONDON (2),1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - BATTERSEA PARK LONDON (2),2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - BATTERSEA PARK LONDON (2),3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,1
DORKING - BATTERSEA PARK LONDON (2),4,ASHTEAD,EPSOM,stop,25.77,79.0,4,0
DORKING - BATTERSEA PARK LONDON (2),5,EPSOM,EWELL EAST,stop,1.65,42.6,4,1
DORKING - BATTERSEA PARK LONDON (2),6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - BATTERSEA PARK LONDON (2),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0
DORKING - BATTERSEA PARK LONDON (2),8,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,3
DORKING - BATTERSEA PARK LONDON (2),9,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
DORKING - BATTERSEA PARK LONDON (2),10,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
DORKING - BATTERSEA PARK LONDON (2),11,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
DORKING - BATTERSEA PARK LONDON (2),12,MITCHAM EASTFIELDS,BALHAM,stop,2.82,16.9,8,0
DORKING - BATTERSEA PARK LONDON (2),13,BALHAM,WANDSWORTH COMMON LONDON,stop,0.68,16.8,2,0
DORKING - BATTERSEA PARK LONDON (2),14,WANDSWORTH COMMON LONDON,BATTERSEA PARK LONDON,stop,2.62,16.7,8,0
DORKING - MITCHAM EASTFIELDS,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,4,0
DORKING - MITCHAM EASTFIELDS,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - MITCHAM EASTFIELDS,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - MITCHAM EASTFIELDS,4,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - MITCHAM EASTFIELDS,5,EPSOM,EWELL EAST,stop,1.65,42.6,5,0
DORKING - MITCHAM EASTFIELDS,6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - MITCHAM EASTFIELDS,7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0
DORKING - MITCHAM EASTFIELDS,8,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
DORKING - MITCHAM EASTFIELDS,9,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
DORKING - MITCHAM EASTFIELDS,10,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
DORKING - MITCHAM EASTFIELDS,11,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
DORKING - MITCHAM EASTFIELDS (2),1,DORKING,LEATHERHEAD,stop,4.26,39.9,6,0
DORKING - MITCHAM EASTFIELDS (2),2,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - MITCHAM EASTFIELDS (2),3,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - MITCHAM EASTFIELDS (2),4,EPSOM,EWELL EAST,stop,1.65,42.6,5,0
DORKING - MITCHAM EASTFIELDS (2),5,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - MITCHAM EASTFIELDS (2),6,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0
DORKING - MITCHAM EASTFIELDS (2),7,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
DORKING - MITCHAM EASTFIELDS (2),8,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,3,0
DORKING - MITCHAM EASTFIELDS (2),9,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
DORKING - MITCHAM EASTFIELDS (2),10,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
