route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EAST CROYDON - BRIGHTON (13),2,SOUTH CROYDON,PURLEY,stop,4.85,29.6,4,0
EAST CROYDON - BRIGHTON (13),3,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,1
EAST CROYDON - BRIGHTON (13),4,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,2
EAST CROYDON - BRIGHTON (13),5,SOUTH CROYDON,PURLEY,pass,4.85,29.6,3,0
EAST CROYDON - BRIGHTON (14),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,1
EAST CROYDON - BRIGHTON (15),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,4,0
EAST CROYDON - BRIGHTON (15),2,EAST CROYDON,PURLEY,stop,3.07,36.1,8,0
EAST CROYDON - BRIGHTON (16),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
EAST CROYDON - BRIGHTON (17),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,0
EAST CROYDON - BRIGHTON (2),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BRIGHTON (2),2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0
EAST CROYDON - BRIGHTON (2),3,SOUTH CROYDON,PURLEY,pass,4.85,29.6,3,0
EAST CROYDON - BRIGHTON (2),4,EAST CROYDON,PURLEY,stop,3.07,36.1,4,0
EAST CROYDON - BRIGHTON (3),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,2
EAST CROYDON - BRIGHTON (3),2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
EAST CROYDON - BRIGHTON (4),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,0.5
EAST CROYDON - BRIGHTON (4),2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
EAST CROYDON - BRIGHTON (4),3,SOUTH CROYDON,PURLEY,pass,4.85,29.6,2,0
EAST CROYDON - BRIGHTON (4),4,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,1
EAST CROYDON - BRIGHTON (4),5,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BRIGHTON (5),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
EAST CROYDON - BRIGHTON (5),2,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BRIGHTON (5),3,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,1
EAST CROYDON - BRIGHTON (5),4,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,4,0
EAST CROYDON - BRIGHTON (6),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
EAST CROYDON - BRIGHTON (6),2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,1
EAST CROYDON - BRIGHTON (6),3,EAST CROYDON,PURLEY,stop,3.07,36.1,9,0
EAST CROYDON - BRIGHTON (7),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BRIGHTON (7),2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,1
EAST CROYDON - BRIGHTON (7),3,SOUTH CROYDON,PURLEY,pass,4.85,29.6,3,0
EAST CROYDON - BRIGHTON (7),4,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0
EAST CROYDON - BRIGHTON (7),5,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
EAST CROYDON - BRIGHTON (8),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
EAST CROYDON - BRIGHTON (8),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0.5
EAST CROYDON - BRIGHTON (8),3,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
EAST CROYDON - BRIGHTON (8),4,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0
EAST CROYDON - BRIGHTON (8),5,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,1
EAST CROYDON - BRIGHTON (8),6,SOUTH CROYDON,PURLEY,pass,4.85,29.6,3,0
EAST CROYDON - BRIGHTON (9),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,2
EAST CROYDON - BRIGHTON (9),2,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
EAST CROYDON - BRIGHTON (9),3,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0
EAST CROYDON - CATERHAM,1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
EAST CROYDON - CATERHAM,2,SOUTH CROYDON,PURLEY OAKS,stop,5.2,29.6,3,0
EAST CROYDON - CATERHAM,3,PURLEY OAKS,PURLEY,stop,1.06,17.3,3,0
EAST CROYDON - CATERHAM,4,PURLEY,KENLEY,stop,1.19,17.4,3,4
EAST CROYDON - CATERHAM (2),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,6,0
EAST CROYDON - CATERHAM (2),2,SOUTH CROYDON,PURLEY OAKS,stop,5.2,29.6,8,0
EAST CROYDON - CATERHAM (2),3,PURLEY OAKS,PURLEY,stop,1.06,17.3,10,0
