route_variant,date,departure_time,train_class,number_of_coaches
ALDERSHOT - WEYBRIDGE,2026-03-14,16:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,16:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,15:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,15:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,14:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,14:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,13:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,13:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,12:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,12:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,11:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,11:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,10:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,10:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,09:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,09:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,08:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,08:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,07:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,07:12:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,06:41:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,06:07:00,450,8
ALTON - GUILDFORD,2026-03-14,07:07:00,450,4
ALTON - GUILDFORD,2026-03-14,08:04:00,450,4
ALTON - GUILDFORD,2026-03-14,09:04:00,450,4
ALTON - GUILDFORD,2026-03-14,10:04:00,450,4
ALTON - GUILDFORD,2026-03-14,11:04:00,450,4
ALTON - GUILDFORD,2026-03-14,12:04:00,450,4
ALTON - GUILDFORD,2026-03-14,13:04:00,450,4
ALTON - GUILDFORD,2026-03-14,14:04:00,450,4
ALTON - GUILDFORD,2026-03-14,15:04:00,450,4
ALTON - GUILDFORD,2026-03-14,16:04:00,450,4
ALTON - GUILDFORD,2026-03-14,17:04:00,450,4
ALTON - GUILDFORD,2026-03-14,18:04:00,450,4
ALTON - GUILDFORD,2026-03-14,19:04:00,450,4
ALTON - GUILDFORD,2026-03-14,06:34:00,450,4
ALTON - GUILDFORD,2026-03-14,20:04:00,450,4
ALTON - GUILDFORD,2026-03-14,21:04:00,450,4
ALTON - GUILDFORD,2026-03-14,22:04:00,450,4
ALTON - GUILDFORD,2026-03-14,23:04:00,450,4
ALTON - SURBITON,2026-03-08,23:06:00,450,4
ALTON - WALTON-ON-THAMES,2026-03-09,07:00:00,450,8
ALTON - WALTON-ON-THAMES,2026-03-10,07:00:00,450,8
ALTON - WALTON-ON-THAMES,2026-03-11,07:00:00,450,8
ALTON - WALTON-ON-THAMES,2026-03-12,07:00:00,450,8
ALTON - WALTON-ON-THAMES,2026-03-13,07:00:00,450,8
ALTON - WOKING,2026-03-08,08:36:00,450,4
ALTON - WOKING,2026-03-08,09:36:00,450,4
ALTON - WOKING,2026-03-08,10:36:00,450,4
ALTON - WOKING,2026-03-08,11:36:00,450,4
ALTON - WOKING,2026-03-08,12:36:00,450,4
ALTON - WOKING,2026-03-08,13:36:00,450,4
ALTON - WOKING,2026-03-08,14:36:00,450,4
ALTON - WOKING,2026-03-08,15:36:00,450,4
ALTON - WOKING,2026-03-08,16:36:00,450,4
ALTON - WOKING,2026-03-08,17:36:00,450,4
ALTON - WOKING,2026-03-08,18:36:00,450,4
ALTON - WOKING,2026-03-08,19:36:00,450,4
ALTON - WOKING,2026-03-08,20:36:00,450,4
ALTON - WOKING,2026-03-08,21:36:00,450,4
ALTON - WOKING,2026-03-08,22:36:00,450,4
ALTON - WOKING,2026-03-08,23:39:00,450,4
ALTON - WOKING,2026-03-09,06:32:00,450,4
ALTON - WOKING,2026-03-09,07:34:00,450,4
ALTON - WOKING,2026-03-09,08:04:00,450,4
ALTON - WOKING,2026-03-09,08:34:00,450,4
ALTON - WOKING,2026-03-10,06:32:00,450,4
ALTON - WOKING,2026-03-10,07:34:00,450,4
ALTON - WOKING,2026-03-10,08:04:00,450,4
ALTON - WOKING,2026-03-10,08:34:00,450,4
ALTON - WOKING,2026-03-11,06:32:00,450,4
ALTON - WOKING,2026-03-11,07:34:00,450,4
ALTON - WOKING,2026-03-11,08:04:00,450,4
ALTON - WOKING,2026-03-11,08:34:00,450,4
ALTON - WOKING,2026-03-12,06:32:00,450,4
ALTON - WOKING,2026-03-12,07:34:00,450,4
ALTON - WOKING,2026-03-12,08:04:00,450,4
ALTON - WOKING,2026-03-12,08:34:00,450,4
ALTON - WOKING,2026-03-13,06:32:00,450,4
ALTON - WOKING,2026-03-13,07:34:00,450,4
ALTON - WOKING,2026-03-13,08:04:00,450,4
ALTON - WOKING,2026-03-13,08:34:00,450,4
ASCOT - FARNHAM,2026-03-08,23:42:00,450,4
ASCOT - FARNHAM,2026-03-08,01:15:00,450,4
ASCOT - FARNHAM,2026-03-09,23:57:00,450,4
ASCOT - FARNHAM,2026-03-09,00:26:00,450,4
ASCOT - FARNHAM,2026-03-10,23:57:00,450,4
ASCOT - FARNHAM,2026-03-10,00:26:00,450,4
ASCOT - FARNHAM,2026-03-10,00:53:00,450,4
ASCOT - FARNHAM,2026-03-11,23:57:00,450,4
ASCOT - FARNHAM,2026-03-11,00:26:00,450,4
ASCOT - FARNHAM,2026-03-11,00:53:00,450,4
ASCOT - FARNHAM,2026-03-12,23:57:00,450,4
ASCOT - FARNHAM,2026-03-12,00:26:00,450,4
ASCOT - FARNHAM,2026-03-12,00:53:00,450,4
ASCOT - FARNHAM,2026-03-13,23:57:00,450,4
ASCOT - FARNHAM,2026-03-13,00:26:00,450,4
ASCOT - FARNHAM,2026-03-13,00:53:00,450,4
ASCOT - FARNHAM,2026-03-14,23:58:00,450,4
ASCOT - FARNHAM,2026-03-14,01:14:00,450,4
ASCOT - GUILDFORD,2026-03-08,08:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,09:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,10:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,11:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,12:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,13:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,14:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,15:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,16:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,17:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,18:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,19:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,20:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,21:48:00,450,4
ASCOT - GUILDFORD,2026-03-08,22:48:00,450,4
EARLSFIELD - FARNHAM,2026-03-08,00:52:00,450,4
FARNHAM - GUILDFORD,2026-03-09,06:08:00,450,4
FARNHAM - GUILDFORD,2026-03-09,06:38:00,450,4
FARNHAM - GUILDFORD,2026-03-09,07:09:00,450,4
