route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EARLSFIELD - GUILDFORD (4),2,SURBITON,HINCHLEY WOOD,stop,2.29,17.1,4,1
EARLSFIELD - GUILDFORD (4),3,HINCHLEY WOOD,CLAYGATE,stop,1.2,17.1,2,0.5
EARLSFIELD - GUILDFORD (4),4,CLAYGATE,OXSHOTT,stop,2.03,17.2,4,0.5
EARLSFIELD - GUILDFORD (4),5,OXSHOTT,COBHAM AND STOKE D'ABERNON,stop,2.02,17.4,3,0.5
EARLSFIELD - GUILDFORD (4),6,COBHAM AND STOKE D'ABERNON,EFFINGHAM JUNCTION,stop,2.57,17.4,4,0.5
EARLSFIELD - GUILDFORD (4),7,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
EARLSFIELD - GUILDFORD (4),8,HORSLEY,CLANDON,stop,3.65,17.6,4,0.5
EARLSFIELD - GUILDFORD (4),9,CLANDON,LONDON ROAD GUILDFORD,stop,3.57,17.8,5,0.5
EARLSFIELD - HAMPTON COURT,1,BERRYLANDS,SURBITON,stop,1.19,17,4,0.5
EARLSFIELD - LEATHERHEAD,1,EWELL WEST,EPSOM,stop,1.36,42.6,3,0.5
EARLSFIELD - LEATHERHEAD,2,EPSOM,ASHTEAD,stop,3,79,4,1
EARLSFIELD - LEATHERHEAD,3,ASHTEAD,LEATHERHEAD,stop,2.2,76,3,0.5
EARLSFIELD - WOKING (2),1,BERRYLANDS,SURBITON,stop,1.19,17,3,0.5
EARLSFIELD - WOKING (3),1,BERRYLANDS,SURBITON,stop,1.19,17,3,0.5
EFFINGHAM JUNCTION - WORCESTER PARK,1,EFFINGHAM JUNCTION,BOOKHAM,stop,1.72,17.6,9,0.5
EFFINGHAM JUNCTION - WORCESTER PARK,2,BOOKHAM,LEATHERHEAD,stop,2.74,39.8,11,0.5
EFFINGHAM JUNCTION - WORCESTER PARK,3,LEATHERHEAD,ASHTEAD,stop,2.2,76,11,0.5
EFFINGHAM JUNCTION - WORCESTER PARK,4,ASHTEAD,EPSOM,stop,3,79,10,1
EFFINGHAM JUNCTION - WORCESTER PARK,5,EPSOM,EWELL WEST,stop,1.36,42.6,8,0.5
EPSOM - BALHAM,1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - BALHAM,2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - BALHAM,3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - BALHAM (2),1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - BALHAM (2),2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - BALHAM (2),3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - BATTERSEA PARK LONDON,1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - BATTERSEA PARK LONDON,2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - BATTERSEA PARK LONDON,3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - CARSHALTON,1,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,1
EPSOM - EARLSFIELD,1,EPSOM,EWELL WEST,stop,1.36,42.6,3,0.5
EPSOM - EPSOM,1,EPSOM,LEATHERHEAD,stop,4.39,65,6,0.5
EPSOM - EPSOM (2),1,SUTTON (SURREY),EPSOM,pass,4.41,42.6,6,0
EPSOM - HORSHAM,1,EPSOM,ASHTEAD,stop,3,79,10,1
